campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,concurrency,round,slot,identity,request_id,submitted_us,started_us,completed_us,received_us,wait_us,service_us,turnaround_us,correct,contamination,fallback,isolation_ok,result_fingerprint,status
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,557,2,4,1,0,A,9efc51331ae93dd6,10989688,10990640,10990739,10990838,952,99,1051,1,0,0,1,79d6cceb9fc0d4f5,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,558,2,4,1,1,B,c20bfc17fa1b5f73,10989749,10989997,10990083,10990887,248,86,334,1,0,0,1,2a560d8144a18ff5,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,559,2,4,1,2,C,d8dcfb695c84fa9c,10989799,10990189,10990273,10990934,390,84,474,1,0,0,1,f607f5ebe691a495,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,560,2,4,1,3,D,fbeca64e3bb71c39,10989876,10990368,10990476,10990982,492,108,600,1,0,0,1,7859bb29f195fde8,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,561,2,4,2,0,A,cffe3b6b07d42595,10991005,10992144,10992231,10992326,1139,87,1226,1,0,0,1,e9873b63a141fb53,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,562,2,4,2,1,B,b518583dd127b2f0,10991059,10991274,10991363,10992374,215,89,304,1,0,0,1,98d4045a1cef8081,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,563,2,4,2,2,C,85ca01c5752d0adf,10991112,10991465,10991552,10992421,353,87,440,1,0,0,1,f70731b6045f0daf,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,564,2,4,2,3,D,eae41e983e80983a,10991165,10991926,10992032,10992468,761,106,867,1,0,0,1,cd16872cad9b8c79,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,565,2,4,3,0,A,810025a2f4bf0d54,10992491,10993344,10993429,10993518,853,85,938,1,0,0,1,07491030ac793c24,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,566,2,4,3,1,B,a40fd087d3f12ef1,10992543,10992745,10992831,10993565,202,86,288,1,0,0,1,827213d97003283b,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,567,2,4,3,2,C,b6cbebfd6217f29e,10992596,10992925,10993066,10993612,329,141,470,1,0,0,1,6a4f3e27b842d416,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,568,2,4,3,3,D,d9db96e2414a143b,10992647,10993167,10993255,10993658,520,88,608,1,0,0,1,e7348753261a3b39,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,569,2,4,4,0,A,b2020fdae1a9f513,10993680,10994950,10995042,10995136,1270,92,1362,1,0,0,1,f139415feb69a1d5,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,570,2,4,4,1,B,8ef264f60277d376,10993731,10994010,10994441,10995183,279,431,710,1,0,0,1,2af16fc1e4ab110a,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,571,2,4,4,2,C,ebe2ba112345b1d9,10993782,10994570,10994662,10995230,788,92,880,1,0,0,1,6280bf04bc97ac0c,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,572,2,4,4,3,D,c8d30f2c4413903c,10993833,10994759,10994848,10995277,926,89,1015,1,0,0,1,64e83d9c9899a378,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,573,2,4,5,0,A,e303fa12ce94dcd2,10995331,10996172,10996255,10996342,841,83,924,1,0,0,1,e3c247bd083383ea,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,574,2,4,5,1,B,fde9dd4005414f77,10995407,10995816,10995899,10996388,409,83,492,1,0,0,1,3135dd2fafdb449e,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,575,2,4,5,2,C,9ce4a44910309998,10995458,10995633,10995722,10996434,175,89,264,1,0,0,1,c94e7828e503a7ef,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,576,2,4,5,3,D,b7ca877646dd0c3d,10995509,10995989,10996074,10996480,480,85,565,1,0,0,1,e3bfe2c8d7cfe7ec,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,577,2,4,6,0,A,9405e44abb7fc491,10996501,10997591,10997677,10997771,1090,86,1176,1,0,0,1,8e6f63b435314edb,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,578,2,4,6,1,B,f0f63965dc4da2f4,10996552,10997076,10997266,10997818,524,190,714,1,0,0,1,af4bff9a34975561,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,579,2,4,6,2,C,c9d1aaa528d8a9db,10996603,10996767,10996918,10997865,164,151,315,1,0,0,1,3e11718936195f32,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,580,2,4,6,3,D,a6c1ffc049a6883e,10996653,10997390,10997489,10997912,737,99,836,1,0,0,1,f6bc43506adb48a9,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,581,2,4,7,0,A,c507ce82a86aac50,10997935,10998877,10998963,10999055,942,86,1028,1,0,0,1,180440ec9741be75,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,582,2,4,7,1,B,dfedb1afdf171ef5,10997988,10998367,10998452,10999103,379,85,464,1,0,0,1,6a59dd77225f8477,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,583,2,4,7,2,C,fad394dd15c3919a,10998040,10998188,10998274,10999150,148,86,234,1,0,0,1,bcd44a8042214b77,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,584,2,4,7,3,D,95b9780a4c70043f,10998092,10998544,10998766,10999197,452,222,674,1,0,0,1,8d65f1805982590a,measured
