campaign_id,source_file,source_sha256,source_ordinal,line_number,scenario,index,source,threads,wake_probes,mode,flags,latency_class,weight,request_ticks,lifecycle,work,service,dispatch,fallback,deadline_miss,wake_samples,wake_max,wake_bucket_0,wake_bucket_1,wake_bucket_2,wake_bucket_3,serial_record_complete,serial_fragmented_line,serial_segment_index,serial_segment_count
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,178,4,3,fresh,1,4,1,7,2,1024,4,4:5,6104,279488,779,0,4,4,4,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,179,4,1,fresh,1,4,1,7,2,1024,4,2:7,5832,277277,746,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,183,44,0,bootstrap,1,0,1,7,3,1024,8,1:1,5888,266278,739,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,195,44,3,fresh,1,4,1,7,2,1024,4,4:6,6360,268811,814,0,4,4,3,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,197,44,2,fresh,1,4,1,7,2,1024,4,3:7,6008,268518,770,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,198,44,1,fresh,4,4,1,7,2,1024,4,2:8,5896,295665,779,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,70,1,0,bootstrap,1,0,1,7,3,1024,8,1:1,28352,1258104,3548,0,0,0,0,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,74,2,0,bootstrap,1,0,1,7,3,1024,8,1:1,11264,572117,1411,0,0,0,0,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,79,2,1,fresh,1,4,1,7,2,1024,4,2:1,12376,579060,1564,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,83,3,0,bootstrap,1,0,1,7,3,1024,8,1:1,8640,362360,1084,0,0,0,1,0,0,0,0,1,,,
